STATE,name,entryType,startTime,duration,initiatorType,nextHopProtocol,workerStart,redirectStart,redirectEnd,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,transferSize,encodedBodySize,decodedBodySize,serverTiming
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,12911.299999999756,105.49999999784632,fetch,,12914.099999998143,0,0,12914.099999998143,12914.099999998143,12914.099999998143,12914.099999998143,12914.099999998143,0,12914.099999998143,13010.999999998603,13016.799999997602,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,13232.599999999366,120.10000000009313,fetch,,13235.299999996641,0,0,13235.399999997753,13235.399999997753,13235.399999997753,13235.399999997753,13235.399999997753,0,13235.399999997753,13346.599999997125,13352.699999999459,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,13364.09999999887,115.60000000099535,fetch,,13367.599999997765,0,0,13367.599999997765,13367.599999997765,13367.599999997765,13367.599999997765,13367.599999997765,0,13367.599999997765,13472.69999999844,13479.699999999866,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,13729.999999999563,115.59999999735737,fetch,,13733.499999998457,0,0,13733.59999999957,13733.59999999957,13733.59999999957,13733.59999999957,13733.59999999957,0,13733.59999999957,13839.599999999336,13845.59999999692,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,13854.499999997643,97.90000000066357,fetch,,13857.099999997445,0,0,13857.099999997445,13857.099999997445,13857.099999997445,13857.099999997445,13857.099999997445,0,13857.099999997445,13946.29999999961,13952.399999998306,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,14154.899999997724,102.9000000016822,fetch,,14157.29999999894,0,0,14157.29999999894,14157.29999999894,14157.29999999894,14157.29999999894,14157.29999999894,0,14157.29999999894,14254.299999996874,14257.799999999406,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,14266.399999996793,127.40000000121654,fetch,,14269.099999997707,0,0,14269.199999998818,14269.199999998818,14269.199999998818,14269.199999998818,14269.199999998818,0,14269.199999998818,14387.99999999901,14393.79999999801,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,14681.99999999706,99.70000000248547,fetch,,14684.399999998277,0,0,14684.399999998277,14684.399999998277,14684.399999998277,14684.399999998277,14684.399999998277,0,14684.399999998277,14775.599999997212,14781.699999999546,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,14681.99999999706,99.70000000248547,fetch,,14684.399999998277,0,0,14684.399999998277,14684.399999998277,14684.399999998277,14684.399999998277,14684.399999998277,0,14684.399999998277,14775.599999997212,14781.699999999546,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,15065.299999998388,133.79999999961,fetch,,15068.599999998696,0,0,15068.599999998696,15068.599999998696,15068.599999998696,15068.599999998696,15068.599999998696,0,15068.599999998696,15192.799999997078,15199.099999997998,0,31522,31522,
