STATE,is,e_is,ofv,mbv,pc,ol
SW was awake,364.6000000007916,423.00000000250293,443.0000000029395,460.80000000074506,1696.300000003248,1867.7000000025146
SW was stopped,389.80000000083237,443.59999999869615,468.19999999934225,484.1999999989639,1243.0999999996857,1243.5999999979686
SW was awake,390.1999999980035,445.9999999999127,464.7000000004482,480.5999999989581,1295.6999999987602,1505.6000000004133
SW was stopped,364.19999999998254,414.10000000178115,433.30000000059954,455.5000000000291,880.4000000018277,894.9000000029628
SW was awake,387.5000000007276,447.4999999983993,466.70000000085565,484.8999999994703,1254.3000000005122,1365.4999999998836
SW was stopped,359.00000000037835,408.69999999995343,433.7999999988824,449.3000000002212,843.6999999976251,964.3999999971129
SW was awake,293.60000000087894,351.99999999895226,371.10000000029686,386.90000000133296,989.4999999996799,1128.499999998894
SW was stopped,359.599999999773,420.30000000158907,440.3000000020256,457.7000000026601,1165.4000000016822,1345.4000000019732
SW was awake,355.8999999986554,404.8000000002503,422.29999999835854,443.1000000004133,1166.9999999976426,1343.9999999973224
SW was stopped,362.0999999984633,414.0999999981432,433.3999999980733,448.69999999718857,1310.4999999995925,1717.9999999971187
SW was awake,310.49999999959255,366.4000000026135,393.4000000008382,411.2999999997555,1380.0000000010186,1380.6000000004133
SW was stopped,370.5000000009022,421.7000000026019,440.3999999994994,461.99999999953434,2017.9000000025553,2322.2999999998137
SW was awake,396.3999999978114,465.29999999984284,483.59999999956926,499.5999999991909,1502.7000000009139,1712.19999999812
SW was stopped,1277.30000000156,1323.5999999997148,1342.000000000553,1358.4999999984575,2141.299999999319,2328.6000000007334
SW was awake,359.1999999989639,409.5999999990454,435.1999999998952,451.60000000032596,1268.5999999994237,1435.699999998178
SW was stopped,504.0000000008149,551.9000000022061,572.5000000020373,589.5000000018626,962.7000000000407,1195.9999999999127
SW was awake,379.7000000013213,443.8000000009197,463.2999999994354,480.70000000006985,1690.3999999994994,1691.2000000011176
SW was stopped,420.2000000004773,473.9000000008673,492.50000000029104,513.8000000006286,1611.1999999993714,1612.0000000009895
SW was awake,538.7999999984459,588.4999999980209,609.3999999975495,633.6999999984982,1617.500000000291,1619.1999999973632
SW was stopped,371.2999999988824,425.90000000200234,446.59999999930733,470.3000000008615,1612.7999999989697,1958.9999999989232
SW was awake,380.4000000018277,430.900000003021,459.30000000225846,477.00000000259024,1414.0000000006694,1633.2000000002154
SW was stopped,322.0999999975902,372.59999999878346,390.4999999977008,406.89999999813153,2339.8999999990338,2450.199999999313
SW was awake,436.90000000060536,479.8000000009779,504.7000000013213,520.4000000012456,1979.1000000004715,2104.5999999987544
SW was stopped,358.4999999984575,409.2999999993481,428.0999999973574,449.5999999999185,1488.59999999695,1616.9999999983702
SW was awake,352.5000000008731,415.7000000013795,435.3999999984808,457.299999998213,1543.099999998958,1673.399999999674
