STATE,name,entryType,startTime,duration,initiatorType,nextHopProtocol,workerStart,redirectStart,redirectEnd,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,transferSize,encodedBodySize,decodedBodySize,serverTiming
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,3718.8999999998487,11.500000000523869,fetch,,3720.3999999983353,0,0,3720.3999999983353,3720.3999999983353,3720.3999999983353,3720.3999999983353,3720.3999999983353,0,3720.3999999983353,3727.2999999986496,3730.4000000003725,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,3825.699999997596,12.500000000727596,fetch,,3827.099999998609,0,0,3827.099999998609,3827.099999998609,3827.099999998609,3827.099999998609,3827.099999998609,0,3827.099999998609,3835.1999999977124,3838.1999999983236,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,3843.300000000454,15.799999997398118,fetch,,3844.699999997829,0,0,3844.699999997829,3844.699999997829,3844.699999997829,3844.699999997829,3844.699999997829,0,3844.699999997829,3855.7999999975436,3859.099999997852,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,3954.7999999995227,13.199999997596024,fetch,,3956.2000000005355,0,0,3956.2000000005355,3956.2000000005355,3956.2000000005355,3956.2000000005355,3956.2000000005355,0,3956.2000000005355,3964.8999999990338,3967.9999999971187,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,3973.6999999986438,13.100000000122236,fetch,,3975.399999999354,0,0,3975.399999999354,3975.399999999354,3975.399999999354,3975.399999999354,3975.399999999354,0,3975.399999999354,3983.299999999872,3986.799999998766,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,4076.499999999214,12.39999999961583,fetch,,4077.7999999991152,0,0,4077.7999999991152,4077.7999999991152,4077.7999999991152,4077.7999999991152,4077.7999999991152,0,4077.7999999991152,4085.9999999993306,4088.89999999883,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,4093.6000000001513,11.800000000221189,fetch,,4094.999999997526,0,0,4094.999999997526,4094.999999997526,4094.999999997526,4094.999999997526,4094.999999997526,0,4094.999999997526,4102.29999999865,4105.4000000003725,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,4191.999999999098,12.09999999991851,fetch,,4193.299999998999,0,0,4193.299999998999,4193.299999998999,4193.299999998999,4193.299999998999,4193.299999998999,0,4193.299999998999,4201.299999996991,4204.099999999016,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,4208.999999998923,11.099999999714782,fetch,,4210.399999999936,0,0,4210.399999999936,4210.399999999936,4210.399999999936,4210.399999999936,4210.399999999936,0,4210.399999999936,4216.899999999441,4220.099999998638,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,4307.600000000093,12.800000000424916,fetch,,4308.899999999994,0,0,4308.899999999994,4308.899999999994,4308.899999999994,4308.899999999994,4308.899999999994,0,4308.899999999994,4317.299999998795,4320.400000000518,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,4325.300000000425,12.799999996786937,fetch,,4326.6999999978,0,0,4326.6999999978,4326.6999999978,4326.6999999978,4326.6999999978,4326.6999999978,0,4326.6999999978,4334.2999999986205,4338.099999997212,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,4429.199999998673,12.39999999961583,fetch,,4430.599999999686,0,0,4430.599999999686,4430.599999999686,4430.599999999686,4430.599999999686,4430.599999999686,0,4430.599999999686,4438.399999999092,4441.599999998289,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,4445.999999999913,12.39999999961583,fetch,,4448.00000000032,0,0,4448.00000000032,4448.00000000032,4448.00000000032,4448.00000000032,4448.00000000032,0,4448.00000000032,4455.299999997806,4458.3999999995285,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,4545.899999997346,12.500000000727596,fetch,,4547.099999999773,0,0,4547.099999999773,4547.099999999773,4547.099999999773,4547.099999999773,4547.099999999773,0,4547.099999999773,4555.499999998574,4558.399999998073,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,4562.699999998586,11.900000001332955,fetch,,4564.099999999598,0,0,4564.099999999598,4564.099999999598,4564.099999999598,4564.099999999598,4564.099999999598,0,4564.099999999598,4571.700000000419,4574.5999999999185,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,4662.899999999354,12.899999997898703,fetch,,4664.199999999255,0,0,4664.199999999255,4664.199999999255,4664.199999999255,4664.199999999255,4664.199999999255,0,4664.199999999255,4672.699999999168,4675.799999997253,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,4680.799999998271,13.29999999870779,fetch,,4682.199999999284,0,0,4682.300000000396,4682.300000000396,4682.300000000396,4682.300000000396,4682.300000000396,0,4682.300000000396,4690.099999999802,4694.099999996979,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,4785.299999999552,13.800000000628643,fetch,,4786.700000000565,0,0,4786.700000000565,4786.700000000565,4786.700000000565,4786.700000000565,4786.700000000565,0,4786.700000000565,4795.500000000175,4799.10000000018,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,4804.000000000087,14.400000000023283,fetch,,4805.399999997462,0,0,4805.399999997462,4805.399999997462,4805.399999997462,4805.399999997462,4805.399999997462,0,4805.399999997462,4814.800000000105,4818.400000000111,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,4912.799999998242,12.99999999901047,fetch,,4914.099999998143,0,0,4914.099999998143,4914.099999998143,4914.099999998143,4914.099999998143,4914.099999998143,0,4914.099999998143,4922.699999999168,4925.799999997253,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,4930.199999998877,12.39999999961583,fetch,,4931.599999999889,0,0,4931.599999999889,4931.599999999889,4931.599999999889,4931.599999999889,4931.599999999889,0,4931.599999999889,4939.299999998184,4942.599999998492,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,5032.599999998638,12.09999999991851,fetch,,5033.999999999651,0,0,5033.999999999651,5033.999999999651,5033.999999999651,5033.999999999651,5033.999999999651,0,5033.999999999651,5041.699999997945,5044.699999998556,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,5049.299999998766,12.09999999991851,fetch,,5050.699999999779,0,0,5050.699999999779,5050.699999999779,5050.699999999779,5050.699999999779,5050.699999999779,0,5050.699999999779,5057.999999997264,5061.3999999986845,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,5151.499999999942,12.299999998504063,fetch,,5152.899999997317,0,0,5152.899999997317,5152.899999997317,5152.899999997317,5152.899999997317,5152.899999997317,0,5152.899999997317,5160.899999998946,5163.799999998446,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,5168.399999998655,12.200000001030276,fetch,,5169.799999999668,0,0,5169.799999999668,5169.799999999668,5169.799999999668,5169.799999999668,5169.799999999668,0,5169.799999999668,5176.6999999999825,5180.599999999686,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,5269.499999998516,13.100000000122236,fetch,,5270.799999998417,0,0,5270.8999999995285,5270.8999999995285,5270.8999999995285,5270.8999999995285,5270.8999999995285,0,5270.8999999995285,5278.599999997823,5282.599999998638,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,5287.399999997433,11.300000001938315,fetch,,5288.799999998446,0,0,5288.799999998446,5288.799999998446,5288.799999998446,5288.799999998446,5288.799999998446,0,5288.799999998446,5295.899999997346,5298.699999999371,0,31522,31522,
